Cuisines,Total_Votes,Restaurant_Count,Average_Rating
"Burger, Finger Food, Pizza",861,1,4.0
"Asian, Vietnamese",861,2,3.9
"Cafe, Italian, Lebanese",861,3,3.4333333333333336
"North Indian, Japanese, Italian",860,1,4.3
"Chinese, Italian, North Indian",847,4,3.65
"Sandwich, Seafood, Steak",844,1,4.5
"Italian, Continental, Mexican, Cafe, Bakery",843,1,4.4
"North Indian, Middle Eastern, Pizza",843,1,4.2
"Japanese, Sushi, Ramen",841,1,4.4
"Fast Food, North Indian, Mughlai",841,1,4.0
"Indian, North Indian, Chinese",841,2,4.15
"North Indian, Italian, Asian, American",840,1,4.4
"Goan, Seafood, North Indian",840,1,4.5
"Biryani, Hyderabadi",836,7,3.5285714285714285
"American, Italian, Chinese, North Indian, Cafe",833,1,3.7
"Seafood, Kiwi",827,2,4.449999999999999
"European, Asian, North Indian, Italian, Continental, Pizza",826,1,4.1
"Mexican, Fast Food",825,3,3.8666666666666667
"Continental, North Indian, South Indian, Italian",821,1,3.9
"Asian, European",817,2,3.95
"Italian, Mexican, Continental, North Indian, Finger Food",817,1,4.0
Greek,816,1,4.7
British,813,3,4.366666666666667
Kashmiri,813,8,2.5
"Cafe, Fast Food, North Indian",811,3,3.8000000000000003
"Japanese, Seafood, Sushi",807,1,4.2
"North Indian, Chinese, South Indian, Fast Food",807,10,2.69
"Breakfast, Cajun",802,1,4.1
"South Indian, Seafood, Kerala",802,1,4.0
"Spanish, Italian",800,1,4.3
"International, Southern, Vegetarian",800,1,4.2
"Continental, North Indian, Chinese, Mediterranean",799,1,4.1
"Cafe, Mexican, Italian, Continental",798,1,4.3
"American, Breakfast, Vegetarian",797,1,4.4
"International, Mediterranean, Sandwich",796,1,4.5
"Bakery, French",791,1,4.1
"Mediterranean, American, Asian",787,2,3.6500000000000004
"Desserts, Cafe",786,3,4.266666666666667
"Cafe, Desserts, Beverages",783,1,3.7
Irish,782,1,4.3
"Thai, European, Mexican, North Indian, Chinese, Cafe",778,1,4.5
"Chinese, Seafood",776,4,3.4000000000000004
"Italian, French, European, Cafe",774,1,3.7
"Continental, Italian, Mediterranean",773,1,3.8
Mithai,772,71,1.6267605633802817
"European, Cafe",772,2,4.2
"Fast Food, South Indian",763,2,2.1
"North Indian, Chinese, Italian, Street Food, Desserts",753,1,4.3
"Continental, North Indian, Chinese, Italian, Finger Food",751,1,3.6
Parsi,750,2,3.95
"American, Bar Food, Sandwich",747,1,3.7
"North Indian, Thai, Continental",743,2,3.95
"Continental, Fast Food, North Indian, Asian",742,1,3.6
"American, BBQ, Steak",742,4,3.825
"Pizza, Italian, Beverages, Desserts",731,1,4.3
"Bakery, Desserts, Fast Food, Beverages",729,1,4.2
"Chinese, Pizza",728,1,4.6
"Japanese, Korean",727,3,4.1000000000000005
"American, BBQ",724,2,3.8
"Kerala, South Indian, Continental, North Indian, Seafood, Chinese",722,1,4.3
"Seafood, Steak, Vegetarian",722,1,4.2
"Cafe, Sandwich, Southern",719,1,4.3
"Chinese, Steak",717,1,4.6
"Italian, French",711,1,4.1
"Breakfast, Diner, Sandwich",710,1,4.3
"Continental, Mexican, American, Italian, North Indian",706,1,3.7
"North Indian, Continental, European",706,1,3.5
"Cafe, Burger",705,2,4.55
"Steak, Seafood, Grill",704,1,4.4
"Street Food, North Indian",698,12,2.7083333333333335
"American, Mexican, Burger",697,2,3.9
"Fast Food, Street Food, South Indian",697,1,4.4
Tapas,696,2,4.4
"Cafe, American",696,1,4.6
"North Indian, European, Continental",696,1,3.9
"American, Hawaiian",695,1,4.5
"Asian, Sushi",695,1,4.1
"American, Breakfast, Hawaiian",694,1,4.2
"Chinese, Asian",692,4,3.625
"Pizza, Seafood, Steak",687,1,4.0
"Seafood, American",686,2,3.6
"Continental, North Indian, Asian",686,5,3.54
"Seafood, Continental, European, German",681,1,4.7
"Breakfast, Vegetarian",680,1,4.2
"Seafood, Filipino, Asian, European",677,1,4.2
"North Indian, European, Continental, Finger Food",676,1,3.9
"Kashmiri, North Indian, Mughlai, South Indian, Maharashtrian, Gujarati",676,1,4.4
"American, Cafe",676,1,4.2
"BBQ, Caribbean, Cajun",674,1,4.5
"North Indian, Chinese, Continental, Pizza",665,1,3.7
"Mughlai, Pakistani, North Indian",665,1,3.8
"Italian, World Cuisine",661,1,3.7
"Asian, Vegetarian, Vietnamese, Bubble Tea",659,1,4.4
"Italian, Seafood, Mediterranean, Desserts, Cafe",658,1,4.3
"North Indian, South Indian, Chinese, Street Food, Mithai",650,2,3.0999999999999996
"Cafe, Italian, Pizza",647,1,3.7
"Mexican, Southwestern, Sushi",647,1,4.2
"Cafe, Chinese, Italian",642,4,2.65
"Chinese, Thai, Seafood",641,3,3.4
"Continental, Indian",641,1,4.9
"Charcoal Grill, Italian, North Indian, European, Indonesian, Thai",635,1,4.4
"Mexican, Southwestern, Tex-Mex",635,1,4.2
"Cafe, Italian, Japanese, Continental",633,1,4.2
"International, Tapas, Vegetarian",631,1,4.5
"Tea, Fast Food",630,8,1.9
"North Indian, Italian, Fast Food",629,2,3.35
"South Indian, Fast Food",627,9,2.9
"North Indian, Chinese, Thai",626,5,3.5799999999999996
Healthy Food,626,15,2.7133333333333334
"Pizza, Bar Food",626,3,4.033333333333333
"Fast Food, Street Food",625,18,2.2666666666666666
"European, Asian, Indian",621,1,4.9
"Seafood, Asian, Grill, Sushi",619,1,3.8
"American, Asian, Italian, Seafood",618,1,4.5
"Sushi, Japanese",614,2,4.2
"North Indian, South Indian, Chinese, Fast Food",612,13,2.5384615384615383
"Fast Food, American, Burger",608,1,4.0
"North Indian, Mexican, Chinese, Italian",605,1,3.9
"Gujarati, Rajasthani, North Indian, Fast Food",603,1,3.8
"Argentine, American",602,1,4.5
"Seafood, Continental, European",601,1,3.7
"Continental, American, North Indian, Chinese",601,2,3.6500000000000004
"Goan, North Indian, Chinese",601,1,3.8
"North Indian, Fast Food, Chinese",600,9,2.7777777777777777
"Italian, Continental, Chinese",594,1,4.1
"Fast Food, Turkish",590,3,3.8000000000000003
"Bengali, North Indian",588,6,2.1999999999999997
"Italian, Chinese, Mexican, Thai, North Indian",582,1,4.0
"North Indian, Asian, Continental",580,4,3.475
"Asian, Continental, Italian, North Indian",579,1,3.0
"American, European",578,1,4.2
Malaysian,575,2,4.2
"Hyderabadi, Awadhi",571,1,4.1
"American, Coffee and Tea",570,1,4.9
"North Indian, European, Chinese",570,1,3.4
"Asian, Latin American, Vegetarian",570,1,4.4
"Chinese, Continental, North Indian, Mexican",569,1,4.1
"Mediterranean, Turkish",568,1,4.2
"Continental, American, Cafe",567,1,4.1
"Continental, Tex-Mex",567,1,3.8
"Desserts, Bakery, Fast Food",564,3,3.3333333333333335
"Asian, Burmese",563,1,4.6
"Chinese, Fast Food, North Indian",563,6,1.5166666666666666
"North Indian, Mughlai, Chinese, Seafood",558,3,3.1999999999999997
"Chinese, Thai, Seafood, Naga",556,1,3.8
"North Indian, Spanish, Mediterranean",555,1,3.9
"Cafe, Italian, Continental, Mexican, Mediterranean",555,1,3.6
"Indian, Asian",552,1,4.4
"Asian, Japanese, Sushi",550,1,4.2
"North Indian, Rajasthani",550,4,2.5999999999999996
Brazilian,549,9,3.3
"Burger, Juices, Finger Food",548,1,3.6
"American, Caribbean, Seafood",548,1,4.9
"Goan, Chinese, Indian, North Indian",544,1,4.3
"Mexican, Spanish",543,1,4.1
"Desserts, Bakery",543,11,3.272727272727273
"Contemporary, Italian",542,1,4.8
"Latin American, Steak",538,1,4.1
"North Indian, Chinese, Italian, Mexican, Lebanese",537,1,4.0
"Street Food, Burger, Desserts, Italian, Pizza, North Indian, European, Finger Food",536,1,4.0
"Seafood, American, Mediterranean, Japanese",535,1,4.7
"Street Food, South Indian",533,3,3.4666666666666663
"Asian, European, Seafood",531,1,4.2
"Kebab, Turkish Pizza",530,4,4.325
"Bengali, North Indian, Chinese",525,2,3.7
"Ice Cream, Mithai, North Indian, Street Food",521,1,4.3
"Japanese, Sushi, Thai",519,3,3.8000000000000003
"North Indian, Chinese, Arabian",519,1,3.8
"Indian, Street Food",517,3,3.966666666666667
"Continental, Mediterranean, Italian, North Indian",510,1,4.0
"North Indian, South Indian",508,35,1.5542857142857143
"Pakistani, Indian, Mughlai",504,1,4.2
"Contemporary, Burger, European",504,1,4.0
"Continental, North Indian, Chinese, Cafe",503,2,3.5
"Bakery, Chinese, Fast Food",503,3,3.533333333333333
"Cafe, Italian, Mexican, Chinese",502,1,3.9
"North Indian, Chinese, Continental, Italian, Burger",502,1,3.4
"North Indian, American, Chinese",501,1,4.1
"Cafe, North Indian, Continental, Chinese",501,2,3.7
"Italian, Pizza, Beverages, Desserts, Grill, Seafood",499,1,4.4
