Cuisines,Average_Rating,Restaurant_Count,Total_Votes
"Chinese, Thai, Tibetan",4.2,1,406
"American, Fast Food, Steak, Beverages",4.2,1,286
"Western, Asian, Cafe",4.2,1,259
"African, Portuguese",4.2,1,265
"Chinese, Sushi, Thai",4.2,1,220
"Continental, Asian",4.2,1,79
"Continental, American, Seafood",4.2,1,171
"American, Mexican, Finger Food",4.2,1,107
"Asian, Chinese, Thai, Vietnamese",4.2,1,264
"Goan, Seafood, Chinese",4.2,1,414
"Arabian, Middle Eastern",4.2,1,444
"Seafood, Steak, Vegetarian",4.2,1,722
"Seafood, South Indian, Andhra, Hyderabadi, Goan",4.2,1,336
"Greek, Mediterranean, Vegetarian",4.2,1,223
"Greek, Lebanese",4.2,1,304
"Parsi, North Indian",4.2,1,40
"Sushi, Japanese",4.2,2,614
"American, Ice Cream, Desserts",4.2,1,488
"American, European, Sandwich",4.2,1,350
"American, European",4.2,1,578
"Seafood, Filipino, Asian, European",4.2,1,677
"Restaurant Cafe, Desserts",4.2,1,874
"Restaurant Cafe, Turkish, Desserts",4.2,1,877
"European, Italian, Desserts",4.2,1,1810
"European, Italian, Mediterranean",4.2,1,379
"European, Lebanese, Mediterranean",4.2,1,2549
"European, Mediterranean, Contemporary",4.2,1,67
"European, Desserts",4.2,2,2567
"European, Continental, Pizza",4.2,1,113
"Pakistani, Indian, Mughlai",4.2,1,504
"North Indian, Continental, European, American, Mediterranean",4.2,1,69
"Mexican, American, Italian",4.199999999999999,2,1720
"Cafe, Continental, Chinese, Italian",4.199999999999999,2,1248
Steak,4.185714285714286,7,1379
French,4.185714285714286,7,1192
"American, Pizza, Bar Food",4.166666666666667,3,1226
"Asian, Thai, Chinese",4.166666666666667,3,2633
German,4.166666666666667,3,2103
"Cafe, Bakery, Desserts",4.166666666666667,6,1248
"Indian, North Indian, Chinese",4.15,2,841
"Mediterranean, Italian, European",4.15,2,3708
"Italian, Continental, Cafe",4.15,2,3128
"Seafood, Sushi",4.15,2,1199
"Continental, American, Asian, North Indian",4.15,4,11404
